name,citation,id,obligation,constraint,permission,entitlement,MandatoryDelegation,Permissive Delegation,PermissiveProvision,MandatoryProvision,Constraining Provision
Section 0,CARES_ACT,0,0,0,1,0,0,0,0,0,0
Section 1,CARES_ACT,1,1,0,1,0,0,0,0,0,0
Section 2,CARES_ACT,2,0,0,0,1,0,0,0,0,0
Section 3,CARES_ACT,3,1,5,1,7,5,0,0,0,0
Section 4,CARES_ACT,4,2,1,5,7,7,0,0,0,1
Section 5,CARES_ACT,5,0,0,0,0,0,0,0,0,0
Section 6,CARES_ACT,6,4,4,1,9,10,0,0,1,0
Section 7,CARES_ACT,7,1,1,0,0,1,0,0,0,0
Section 8,CARES_ACT,8,1,1,3,3,2,0,0,0,1
Section 9,CARES_ACT,9,0,0,0,1,1,0,0,0,0
Section 10,CARES_ACT,10,2,3,0,0,2,0,0,0,0
Section 11,CARES_ACT,11,0,0,0,0,0,0,0,0,0
Section 12,CARES_ACT,12,5,9,9,17,17,0,0,2,0
Section 13,CARES_ACT,13,1,0,1,4,3,0,0,1,1
Section 14,CARES_ACT,14,1,6,2,10,7,0,0,0,2
Section 15,CARES_ACT,15,1,1,0,0,1,0,0,0,0
Section 16,CARES_ACT,16,1,3,0,6,6,0,0,0,0
Section 17,CARES_ACT,17,0,0,1,2,1,0,0,0,1
Section 18,CARES_ACT,18,1,5,1,1,1,0,0,0,1
Section 19,CARES_ACT,19,3,5,0,5,8,0,0,0,0
Section 20,CARES_ACT,20,2,2,0,1,3,0,0,0,0
Section 21,CARES_ACT,21,1,1,0,0,1,0,0,0,0
Section 22,CARES_ACT,22,1,0,2,1,2,0,0,0,0
Section 23,CARES_ACT,23,1,0,0,0,1,0,0,0,0
Section 24,CARES_ACT,24,1,1,1,1,2,0,0,0,0
Section 25,CARES_ACT,25,0,1,0,0,0,0,0,0,0
Section 26,CARES_ACT,26,1,0,1,2,3,0,0,0,0
Section 27,CARES_ACT,27,0,0,1,0,0,0,0,0,0
Section 28,CARES_ACT,28,0,6,3,6,5,0,0,0,0
Section 29,CARES_ACT,29,0,0,0,1,1,0,0,0,0
Section 30,CARES_ACT,30,2,0,1,1,1,0,0,0,0
Section 31,CARES_ACT,31,2,0,0,2,3,0,0,1,0
Section 32,CARES_ACT,32,1,0,0,0,1,0,0,0,0
Section 33,CARES_ACT,33,0,0,0,1,0,0,0,0,0
Section 34,CARES_ACT,34,0,0,1,1,1,0,0,0,0
Section 35,CARES_ACT,35,0,1,0,2,2,0,0,0,0
Section 36,CARES_ACT,36,0,0,0,1,1,0,0,0,0
Section 37,CARES_ACT,37,0,1,2,1,0,0,0,0,0
Section 38,CARES_ACT,38,2,0,0,0,0,0,0,0,0
Section 39,CARES_ACT,39,0,0,0,0,0,0,0,0,0
Section 40,CARES_ACT,40,0,0,1,1,1,0,0,0,0
Section 41,CARES_ACT,41,3,1,0,4,6,1,1,1,0
Section 42,CARES_ACT,42,1,1,0,0,1,0,0,0,0
Section 43,CARES_ACT,43,0,1,0,0,0,0,0,0,0
Section 44,CARES_ACT,44,0,0,0,0,0,0,0,0,0
Section 45,CARES_ACT,45,2,2,4,3,2,1,1,1,0
Section 46,CARES_ACT,46,0,0,0,0,0,0,0,0,0
Section 47,CARES_ACT,47,3,2,1,9,9,0,0,0,2
